"No.","Time","Source","Destination","Protocol","Length","Info"
"106","9.844752","172.20.48.201","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"107","10.439783","172.20.48.201","52.111.252.16","TLSv1.2","128","Application Data"
"108","10.440125","172.20.48.201","52.111.252.16","TLSv1.2","481","Application Data"
"109","10.443037","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=524 Ack=1147 Win=764 Len=0"
"110","10.443037","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=524 Ack=1574 Win=775 Len=0"
"111","10.473763","13.107.6.158","172.20.48.201","TLSv1.2","376","Application Data"
"112","10.527705","172.20.48.201","13.107.6.158","TCP","54","65216  >  443 [ACK] Seq=579 Ack=1062 Win=254 Len=0"
"113","10.530525","13.107.6.158","172.20.48.201","TLSv1.2","85","Application Data"
"114","10.545316","52.111.252.16","172.20.48.201","TLSv1.2","96","Application Data"
"115","10.574765","172.20.48.201","13.107.6.158","TCP","54","65216  >  443 [ACK] Seq=579 Ack=1093 Win=254 Len=0"
"116","10.589401","172.20.48.201","52.111.252.16","TCP","54","65217  >  443 [ACK] Seq=1574 Ack=566 Win=253 Len=0"
"117","10.594946","52.111.252.16","172.20.48.201","TLSv1.2","262","Application Data, Application Data"
"118","10.610279","172.20.48.201","172.20.72.11","DNS","70","Standard query 0x9e6b A dns.google"
"119","10.610432","172.20.48.201","172.20.72.11","DNS","70","Standard query 0x4fd8 HTTPS dns.google"
"120","10.613859","172.20.72.11","172.20.48.201","DNS","102","Standard query response 0x9e6b A dns.google A 8.8.4.4 A 8.8.8.8"
"121","10.613859","172.20.72.11","172.20.48.201","DNS","146","Standard query response 0x4fd8 HTTPS dns.google SOA ns1.zdns.google"
"122","10.614511","172.20.48.201","8.8.4.4","TCP","66","65322  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"123","10.621678","8.8.4.4","172.20.48.201","TCP","66","443  >  65322 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1386 SACK_PERM WS=256"
"124","10.621736","172.20.48.201","8.8.4.4","TCP","54","65322  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"125","10.622365","172.20.48.201","8.8.4.4","TCP","1440","65322  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1386 [TCP PDU reassembled in 126]"
"126","10.622365","172.20.48.201","8.8.4.4","TLSv1.3","484","Client Hello (SNI=dns.google)"
"127","10.625477","8.8.4.4","172.20.48.201","TCP","60","443  >  65322 [ACK] Seq=1 Ack=1387 Win=64256 Len=0"
"128","10.625477","8.8.4.4","172.20.48.201","TCP","60","443  >  65322 [ACK] Seq=1 Ack=1817 Win=64000 Len=0"
"129","10.636861","172.20.48.201","52.111.252.16","TCP","54","65217  >  443 [ACK] Seq=1574 Ack=774 Win=252 Len=0"
"130","10.662323","8.8.4.4","172.20.48.201","TLSv1.3","4212","Server Hello, Change Cipher Spec"
"131","10.662323","8.8.4.4","172.20.48.201","TLSv1.3","85","Application Data"
"132","10.662383","172.20.48.201","8.8.4.4","TCP","54","65322  >  443 [ACK] Seq=1817 Ack=4190 Win=65280 Len=0"
"133","10.663051","172.20.48.201","8.8.4.4","TLSv1.3","128","Change Cipher Spec, Application Data"
"134","10.663245","172.20.48.201","8.8.4.4","TLSv1.3","146","Application Data"
"135","10.663388","172.20.48.201","8.8.4.4","TLSv1.3","298","Application Data"
"136","10.663424","172.20.48.201","8.8.4.4","TLSv1.3","245","Application Data"
"137","10.665153","8.8.4.4","172.20.48.201","TCP","60","443  >  65322 [ACK] Seq=4190 Ack=1891 Win=64000 Len=0"
"138","10.665153","8.8.4.4","172.20.48.201","TCP","60","443  >  65322 [ACK] Seq=4190 Ack=1983 Win=64000 Len=0"
"139","10.665153","8.8.4.4","172.20.48.201","TCP","60","443  >  65322 [ACK] Seq=4190 Ack=2227 Win=64000 Len=0"
"140","10.665153","8.8.4.4","172.20.48.201","TCP","60","443  >  65322 [ACK] Seq=4190 Ack=2418 Win=64000 Len=0"
"141","10.670951","8.8.4.4","172.20.48.201","TLSv1.3","1004","Application Data, Application Data"
"142","10.671324","172.20.48.201","8.8.4.4","TLSv1.3","85","Application Data"
"143","10.674340","8.8.4.4","172.20.48.201","TLSv1.3","940","Application Data, Application Data, Application Data, Application Data, Application Data"
"144","10.674897","172.20.48.201","8.8.4.4","TLSv1.3","93","Application Data"
"145","10.677459","8.8.4.4","172.20.48.201","TLSv1.3","667","Application Data, Application Data, Application Data"
"146","10.678389","172.20.48.201","104.208.16.90","TCP","66","65323  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"147","10.729253","172.20.48.201","8.8.4.4","TCP","54","65322  >  443 [ACK] Seq=2488 Ack=6639 Win=64768 Len=0"
"148","10.930421","172.20.48.201","13.107.6.158","TLSv1.2","160","Application Data"
"149","10.930538","172.20.48.201","13.107.6.158","TLSv1.2","125","Application Data"
"150","10.933517","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=1093 Ack=685 Win=243 Len=0"
"151","10.933517","13.107.6.158","172.20.48.201","TCP","60","443  >  65216 [ACK] Seq=1093 Ack=756 Win=243 Len=0"
"152","10.934721","172.20.48.201","104.208.16.90","TCP","66","65324  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"153","10.936204","104.208.16.90","172.20.48.201","TCP","66","443  >  65323 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1386 WS=256 SACK_PERM"
"154","10.936307","172.20.48.201","104.208.16.90","TCP","54","65323  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"155","10.937101","172.20.48.201","104.208.16.90","TCP","1440","65323  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1386 [TCP PDU reassembled in 156]"
"156","10.937101","172.20.48.201","104.208.16.90","TLSv1.3","409","Client Hello (SNI=teams.events.data.microsoft.com)"
"157","10.939699","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=1 Ack=1387 Win=64256 Len=0"
"158","10.939699","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=1 Ack=1742 Win=64000 Len=0"
"159","10.965858","172.20.48.201","52.182.143.215","TLSv1.2","134","Application Data"
"160","10.965931","172.20.48.201","52.182.143.215","TLSv1.2","93","Application Data"
"161","10.965961","172.20.48.201","52.182.143.215","TLSv1.2","843","Application Data"
"162","10.968769","52.182.143.215","172.20.48.201","TCP","60","443  >  65218 [ACK] Seq=99 Ack=116 Win=353 Len=0"
"163","10.968769","52.182.143.215","172.20.48.201","TCP","60","443  >  65218 [ACK] Seq=99 Ack=155 Win=353 Len=0"
"164","10.968769","52.182.143.215","172.20.48.201","TCP","60","443  >  65218 [ACK] Seq=99 Ack=944 Win=364 Len=0"
"165","11.120584","172.20.48.201","35.186.224.40","TLSv1.2","97","Application Data"
"166","11.123303","35.186.224.40","172.20.48.201","TCP","60","443  >  64744 [ACK] Seq=1 Ack=44 Win=245 Len=0"
"167","11.136476","172.20.48.201","8.8.4.4","TCP","55","65220  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1 [TCP PDU reassembled in 3825]"
"168","11.139656","8.8.4.4","172.20.48.201","TCP","66","443  >  65220 [ACK] Seq=1 Ack=2 Win=266 Len=0 SLE=1 SRE=2"
"169","11.200454","104.208.16.90","172.20.48.201","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"170","11.201466","172.20.48.201","104.208.16.90","TLSv1.3","641","Change Cipher Spec, Client Hello (SNI=teams.events.data.microsoft.com)"
"171","11.202697","52.182.143.215","172.20.48.201","TLSv1.2","93","Application Data"
"172","11.204751","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=100 Ack=2329 Win=63488 Len=0"
"173","11.205854","104.208.16.90","172.20.48.201","TCP","66","443  >  65324 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1386 WS=256 SACK_PERM"
"174","11.205900","172.20.48.201","104.208.16.90","TCP","54","65324  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"175","11.206441","172.20.48.201","104.208.16.90","TCP","1440","65324  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1386 [TCP PDU reassembled in 176]"
"176","11.206441","172.20.48.201","104.208.16.90","TLSv1.3","473","Client Hello (SNI=teams.events.data.microsoft.com)"
"177","11.208109","35.186.224.40","172.20.48.201","TLSv1.2","94","Application Data"
"178","11.209124","104.208.16.90","172.20.48.201","TCP","60","443  >  65324 [ACK] Seq=1 Ack=1387 Win=64256 Len=0"
"179","11.209124","104.208.16.90","172.20.48.201","TCP","60","443  >  65324 [ACK] Seq=1 Ack=1806 Win=64000 Len=0"
"180","11.245352","172.20.48.201","52.182.143.215","TCP","54","65218  >  443 [ACK] Seq=944 Ack=138 Win=252 Len=0"
"181","11.261285","172.20.48.201","35.186.224.40","TCP","54","64744  >  443 [ACK] Seq=44 Ack=41 Win=255 Len=0"
"182","11.277125","172.20.48.201","23.206.173.122","TCP","55","65272  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"183","11.279830","23.206.173.122","172.20.48.201","TCP","66","443  >  65272 [ACK] Seq=1 Ack=2 Win=485 Len=0 SLE=1 SRE=2"
"184","11.308232","172.20.48.201","35.186.224.24","TCP","55","65264  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 8179]"
"185","11.311883","35.186.224.24","172.20.48.201","TCP","66","443  >  65264 [ACK] Seq=1 Ack=2 Win=244 Len=0 SLE=1 SRE=2"
"186","11.323159","172.20.48.201","35.186.224.24","TCP","55","65265  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1 [TCP PDU reassembled in 7475]"
"187","11.329015","35.186.224.24","172.20.48.201","TCP","66","443  >  65265 [ACK] Seq=1 Ack=2 Win=241 Len=0 SLE=1 SRE=2"
"188","11.369984","172.20.48.201","23.206.173.128","TCP","55","65266  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1"
"189","11.373075","23.206.173.128","172.20.48.201","TCP","66","443  >  65266 [ACK] Seq=1 Ack=2 Win=484 Len=0 SLE=1 SRE=2"
"190","11.476437","172.20.48.201","52.111.252.16","TLSv1.2","128","Application Data"
"191","11.476512","172.20.48.201","52.111.252.16","TLSv1.2","485","Application Data"
"192","11.476679","104.208.16.90","172.20.48.201","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"193","11.478086","172.20.48.201","104.208.16.90","TLSv1.3","705","Change Cipher Spec, Client Hello (SNI=teams.events.data.microsoft.com)"
"194","11.478703","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=774 Ack=1648 Win=775 Len=0"
"195","11.478703","52.111.252.16","172.20.48.201","TCP","60","443  >  65217 [ACK] Seq=774 Ack=2079 Win=786 Len=0"
"196","11.480775","104.208.16.90","172.20.48.201","TCP","60","443  >  65324 [ACK] Seq=100 Ack=2457 Win=63488 Len=0"
"197","11.481963","52.182.143.215","172.20.48.201","TLSv1.2","152","Application Data"
"198","11.482592","172.20.48.201","52.182.143.215","TLSv1.2","89","Application Data"
"199","11.485745","52.182.143.215","172.20.48.201","TCP","60","443  >  65218 [ACK] Seq=236 Ack=979 Win=364 Len=0"
"200","11.509677","172.20.48.201","52.123.164.110","TLSv1.2","104","Application Data"
"201","11.510330","104.208.16.90","172.20.48.201","TLSv1.3","4212","Server Hello"
"202","11.510518","172.20.48.201","104.208.16.90","TCP","54","65323  >  443 [ACK] Seq=2329 Ack=4258 Win=65280 Len=0"
"203","11.510587","104.208.16.90","172.20.48.201","TCP","1440","443  >  65323 [ACK] Seq=4258 Ack=2329 Win=63488 Len=1386 [TCP PDU reassembled in 204]"
"204","11.510587","104.208.16.90","172.20.48.201","TLSv1.3","916","Application Data"
"205","11.510620","172.20.48.201","104.208.16.90","TCP","54","65323  >  443 [ACK] Seq=2329 Ack=6506 Win=65280 Len=0"
"206","11.513639","172.20.48.201","104.208.16.90","TLSv1.3","128","Application Data"
"207","11.513862","172.20.48.201","104.208.16.90","TLSv1.3","146","Application Data"
"208","11.514074","172.20.48.201","104.208.16.90","TLSv1.3","700","Application Data"
"209","11.514148","172.20.48.201","104.208.16.90","TCP","1440","65323  >  443 [ACK] Seq=3141 Ack=6506 Win=65280 Len=1386 [TCP PDU reassembled in 211]"
"210","11.514148","172.20.48.201","104.208.16.90","TCP","1440","65323  >  443 [ACK] Seq=4527 Ack=6506 Win=65280 Len=1386 [TCP PDU reassembled in 211]"
"211","11.514148","172.20.48.201","104.208.16.90","TLSv1.3","1160","Application Data"
"212","11.516481","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=6506 Ack=2403 Win=63488 Len=0"
"213","11.516481","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=6506 Ack=4527 Win=61696 Len=0"
"214","11.516481","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=6506 Ack=5913 Win=60416 Len=0"
"215","11.516481","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=6506 Ack=7019 Win=59392 Len=0"
"216","11.516481","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=6506 Ack=2495 Win=63488 Len=0"
"217","11.516481","104.208.16.90","172.20.48.201","TCP","60","443  >  65323 [ACK] Seq=6506 Ack=3141 Win=62976 Len=0"
"218","11.535179","52.123.164.110","172.20.48.201","TLSv1.2","93","Application Data"
"219","11.571643","52.111.252.16","172.20.48.201","TLSv1.2","96","Application Data"
"220","11.586946","172.20.48.201","52.123.164.110","TCP","54","64776  >  443 [ACK] Seq=51 Ack=40 Win=251 Len=0"
"221","11.618181","172.20.48.201","52.111.252.16","TCP","54","65217  >  443 [ACK] Seq=2079 Ack=816 Win=252 Len=0"
"222","11.621567","52.111.252.16","172.20.48.201","TLSv1.2","261","Application Data, Application Data"
"223","11.665350","172.20.48.201","52.111.252.16","TCP","54","65217  >  443 [ACK] Seq=2079 Ack=1023 Win=251 Len=0"
"224","11.673953","172.20.48.201","255.255.255.255","UDP","82","52506  >  1947 Len=40"
"225","11.673952","172.20.48.201","172.20.55.255","UDP","82","52505  >  1947 Len=40"
"226","11.726576","172.20.48.201","35.186.224.24","TCP","55","65238  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1 [TCP PDU reassembled in 506]"
"227","11.729252","35.186.224.24","172.20.48.201","TCP","66","443  >  65238 [ACK] Seq=1 Ack=2 Win=288 Len=0 SLE=1 SRE=2"
"228","11.759067","104.208.16.90","172.20.48.201","TLSv1.3","1440","Server Hello"
"229","11.760670","104.208.16.90","172.20.48.201","TCP","1440","443  >  65324 [ACK] Seq=1486 Ack=2457 Win=63488 Len=1386 [TCP PDU reassembled in 233]"
"230","11.760775","172.20.48.201","104.208.16.90","TCP","54","65324  >  443 [ACK] Seq=2457 Ack=2872 Win=65280 Len=0"
"231","11.761793","104.208.16.90","172.20.48.201","TCP","1440","443  >  65324 [ACK] Seq=2872 Ack=2457 Win=63488 Len=1386 [TCP PDU reassembled in 233]"
"232","11.761793","104.208.16.90","172.20.48.201","TCP","1440","443  >  65324 [ACK] Seq=4258 Ack=2457 Win=63488 Len=1386 [TCP PDU reassembled in 233]"
"233","11.761793","104.208.16.90","172.20.48.201","TLSv1.3","916","Application Data"
"234","11.761908","172.20.48.201","104.208.16.90","TCP","54","65324  >  443 [ACK] Seq=2457 Ack=6506 Win=65280 Len=0"
"235","11.762528","172.20.48.201","104.208.16.90","TLSv1.3","128","Application Data"
